2024-07-24,216,3,10,0,0,0
2024-07-24,1186,1,2,0,1,0
2024-07-24,447,3,3,0,0,0
2024-07-24,329,6,6,1,3,3
2024-07-24,619,2,10,0,0,0
2024-07-24,217,1,3,1,0,0
2024-07-23,4555,19,7,0,0,0
2024-07-23,316,3,3,1,0,0
2024-07-23,189,2,4,0,0,0
2024-07-23,413,1,10,0,0,0
2024-07-23,413,1,10,0,0,0
2024-07-23,251,0,3,1,0,0
2024-07-23,54,0,6,0,0,0
2024-07-23,526,3,1,0,1,0
2024-07-23,220,0,1,1,1,0
2024-07-23,202,4,8,1,0,0
2024-07-23,233,3,5,0,0,0
2024-07-23,2958,14,31,0,1,0
2024-07-23,230,3,13,1,0,0
2024-07-23,191,2,6,0,1,2
2024-07-23,246,3,0,0,1,0
2024-07-23,210,3,15,0,0,0
2024-07-23,422,0,8,0,0,1
2024-07-23,846,1,13,0,0,1
2024-07-23,203,0,3,1,0,0
2024-07-23,1397,3,1,1,0,0
2024-07-23,783,1,16,0,1,0
2024-07-23,168,1,4,0,1,0
2024-07-22,203,0,0,0,1,0
2024-07-22,203,0,0,0,1,0
2024-07-22,32,0,2,1,0,0
2024-07-22,955,5,1,1,0,0
2024-07-22,9938,11,15,1,0,2
2024-07-22,3236,16,9,1,0,0
2024-07-22,27,0,0,0,0,0
2024-07-22,104,9,7,0,0,2
2024-07-22,377,0,6,1,1,0
2024-07-22,215,3,4,0,0,0
2024-07-22,203,2,14,0,1,0
2024-07-22,2011,11,27,0,0,0
2024-07-22,251,3,18,1,2,1
2024-07-22,251,3,18,1,2,1
2024-07-22,174,1,3,0,1,1
2024-07-22,96,4,3,1,1,1
2024-07-22,196,1,0,0,1,0
2024-07-22,235,5,8,1,1,3
2024-07-22,636,3,14,0,0,0
2024-07-22,483,6,3,0,1,0
2024-07-22,567,1,0,0,0,0
2024-07-22,744,2,8,0,0,0
2024-07-22,227,4,5,0,0,2
2024-07-21,1401,0,23,1,0,1
2024-07-21,97,2,10,0,1,0
2024-07-21,845,2,3,1,0,0
2024-07-21,260,2,2,0,1,0
2024-07-21,260,7,0,0,1,0
2024-07-21,206,1,4,0,1,0
2024-07-21,801,5,8,0,1,1
2024-07-21,220,-18,4,0,1,0
2024-07-21,6882,38,11,0,1,0
2024-07-21,5147,19,4,0,0,0
2024-07-21,212,2,10,0,1,1
2024-07-21,276,10,10,1,4,7
2024-07-21,149,1,3,0,0,0
2024-07-21,282,3,4,1,0,1
2024-07-21,231,0,3,0,1,0
2024-07-21,301,4,2,0,1,0
2024-07-21,1619,-10,5,0,0,0
2024-07-21,142,0,2,1,0,0
2024-07-21,797,3,10,0,2,1
2024-07-21,217,2,20,0,0,0
2024-07-20,590,0,2,1,0,0
2024-07-20,163,2,2,0,0,0
2024-07-20,201,1,2,0,1,0
2024-07-20,163,1,8,0,1,0
2024-07-20,631,1,2,0,1,0
2024-07-20,204,0,3,0,2,0
2024-07-20,649,4,6,1,0,0
2024-07-20,218,1,7,1,0,0
2024-07-20,223,0,10,0,1,0
2024-07-20,175,2,10,0,0,1
2024-07-20,699,3,10,0,0,0
2024-07-20,563,2,4,1,0,0
2024-07-20,212,0,19,0,0,0
2024-07-20,227,0,6,0,0,0
2024-07-20,2076,-22,3,0,1,0
2024-07-20,2794,-41,4,1,0,0
2024-07-20,223,0,0,0,1,0
2024-07-19,219,5,2,0,1,0
2024-07-19,3359,9,4,1,0,0
2024-07-19,667,2,6,0,1,0
2024-07-19,343,5,14,1,0,0
2024-07-19,662,1,5,1,0,0
2024-07-19,1072,4,17,1,2,8
2024-07-19,418,0,1,0,1,0
2024-07-19,146,2,0,0,0,0
2024-07-19,99,1,0,0,1,0
2024-07-19,872,0,24,0,1,0
2024-07-19,11585,68,31,1,0,1
2024-07-19,234,2,1,0,1,0
2024-07-19,227,0,0,1,0,0
2024-07-19,102,0,0,1,0,0
2024-07-19,354,3,2,0,1,0
2024-07-19,2802,1,4,0,0,0
2024-07-19,490,4,16,1,0,0
2024-07-19,608,0,1,0,1,0
2024-07-19,608,0,1,0,1,0
2024-07-18,205,0,1,0,0,0
2024-07-18,494,2,2,1,0,0
2024-07-18,272,0,2,1,0,0
2024-07-18,249,0,1,1,1,0
2024-07-18,1221,1,8,0,1,1
2024-07-18,222,0,3,0,1,0
2024-07-18,238,6,9,0,1,0
2024-07-18,46,0,0,0,1,0
2024-07-18,5762,17,8,0,1,0
2024-07-18,134,0,0,1,1,0
2024-07-18,3971,5,3,0,1,0
2024-07-18,53,0,1,0,0,0
2024-07-18,170,4,0,0,1,0
2024-07-18,108,0,2,1,1,0
2024-07-18,1623,3,1,0,1,0
2024-07-18,3617,5,5,0,1,0
